Time;Home Team;Away Team;Result
zaterdag 21.10.2017 20:00;KAS Eupen;KV Mechelen;4 - 1
zaterdag 21.10.2017 20:00;STVV;KV Oostende;1 - 0
zaterdag 21.10.2017 20:30;KV Kortrijk;KAA Gent;1 - 1
zondag 22.10.2017 14:30;Club Brugge;Antwerp;1 - 0
zondag 22.10.2017 18:00;RSC Anderlecht;KRC Genk;0 - 1
zondag 22.10.2017 20:00;SV Zulte Waregem;Waasland-Beveren;2 - 5
dinsdag 24.10.2017 20:30;KAA Gent;KAS Eupen;3 - 0
dinsdag 24.10.2017 20:30;KV Oostende;Sporting Charleroi;3 - 0
dinsdag 24.10.2017 20:30;KV Mechelen;Sporting Lokeren;0 - 2
woensdag 25.10.2017 20:30;RSC Anderlecht;SV Zulte Waregem;2 - 0
woensdag 25.10.2017 20:30;KRC Genk;Club Brugge;2 - 0
woensdag 25.10.2017 20:30;Waasland-Beveren;KV Kortrijk;2 - 1
donderdag 26.10.2017 20:30;Antwerp;Standard de Liège;0 - 0
donderdag 26.10.2017 20:30;STVV;RE Mouscron;1 - 0
vrijdag 27.10.2017 20:30;Sporting Charleroi;KAA Gent;2 - 1
zaterdag 28.10.2017 18:00;KAS Eupen;RSC Anderlecht;2 - 3
zaterdag 28.10.2017 20:00;SV Zulte Waregem;KV Mechelen;2 - 1
zaterdag 28.10.2017 20:00;Sporting Lokeren;KV Oostende;0 - 3
zaterdag 28.10.2017 20:30;KV Kortrijk;KRC Genk;0 - 0
zondag 29.10.2017 14:30;Club Brugge;STVV;4 - 1
zondag 29.10.2017 18:00;Standard de Liège;Waasland-Beveren;3 - 1
zondag 29.10.2017 20:00;RE Mouscron;Antwerp;2 - 2
vrijdag 03.11.2017 20:30;KAA Gent;Standard de Liège;1 - 0
zaterdag 04.11.2017 18:00;KRC Genk;Sporting Lokeren;0 - 0
zaterdag 04.11.2017 20:00;KV Mechelen;KV Kortrijk;2 - 0
zaterdag 04.11.2017 20:00;STVV;KAS Eupen;4 - 4
zaterdag 04.11.2017 20:30;Waasland-Beveren;RE Mouscron;2 - 0
zondag 05.11.2017 14:30;Antwerp;Sporting Charleroi;1 - 3
zondag 05.11.2017 18:00;RSC Anderlecht;Club Brugge;0 - 0
zondag 05.11.2017 20:00;KV Oostende;SV Zulte Waregem;4 - 2
vrijdag 17.11.2017 20:30;Sporting Charleroi;KV Mechelen;2 - 0
zaterdag 18.11.2017 18:00;RE Mouscron;RSC Anderlecht;1 - 2
zaterdag 18.11.2017 20:00;KV Kortrijk;STVV;3 - 2
zaterdag 18.11.2017 20:00;KAS Eupen;Antwerp;0 - 1
zaterdag 18.11.2017 20:30;Standard de Liège;KV Oostende;0 - 0
zondag 19.11.2017 14:30;SV Zulte Waregem;KRC Genk;0 - 1
zondag 19.11.2017 18:00;Club Brugge;Waasland-Beveren;3 - 0
zondag 19.11.2017 20:00;Sporting Lokeren;KAA Gent;0 - 3
vrijdag 24.11.2017 20:30;KAA Gent;RE Mouscron;3 - 1
zaterdag 25.11.2017 18:00;Antwerp;KV Mechelen;0 - 0
zaterdag 25.11.2017 20:00;KV Oostende;KAS Eupen;1 - 0
zaterdag 25.11.2017 20:00;STVV;Sporting Lokeren;0 - 0
zaterdag 25.11.2017 20:30;Waasland-Beveren;Sporting Charleroi;0 - 2
zondag 26.11.2017 14:30;KRC Genk;Standard de Liège;0 - 2
zondag 26.11.2017 18:00;RSC Anderlecht;KV Kortrijk;4 - 0
zondag 26.11.2017 20:00;Club Brugge;SV Zulte Waregem;3 - 2
vrijdag 01.12.2017 20:30;Sporting Charleroi;KV Oostende;1 - 1
zaterdag 02.12.2017 18:00;Sporting Lokeren;RSC Anderlecht;1 - 2
zaterdag 02.12.2017 20:00;KV Kortrijk;Waasland-Beveren;4 - 1
zaterdag 02.12.2017 20:00;RE Mouscron;STVV;1 - 1
zaterdag 02.12.2017 20:30;KV Mechelen;KRC Genk;3 - 2
zondag 03.12.2017 14:30;Standard de Liège;Antwerp;1 - 1
zondag 03.12.2017 18:00;KAS Eupen;Club Brugge;2 - 2
zondag 03.12.2017 20:00;SV Zulte Waregem;KAA Gent;0 - 1
vrijdag 08.12.2017 20:30;Waasland-Beveren;Standard de Liège;3 - 1
zaterdag 09.12.2017 18:00;KV Oostende;KV Mechelen;0 - 1
zaterdag 09.12.2017 20:00;KRC Genk;KAS Eupen;1 - 1
zaterdag 09.12.2017 20:00;Antwerp;RE Mouscron;1 - 0
zaterdag 09.12.2017 20:30;KAA Gent;KV Kortrijk;2 - 1
zondag 10.12.2017 14:30;Club Brugge;Sporting Lokeren;3 - 1
zondag 10.12.2017 18:00;RSC Anderlecht;Sporting Charleroi;1 - 3
zondag 10.12.2017 20:00;STVV;SV Zulte Waregem;1 - 1
vrijdag 15.12.2017 20:30;RE Mouscron;KV Oostende;1 - 0
zaterdag 16.12.2017 18:00;Standard de Liège;KAA Gent;0 - 0
zaterdag 16.12.2017 20:00;KV Kortrijk;KV Mechelen;2 - 0
zaterdag 16.12.2017 20:00;KAS Eupen;STVV;0 - 0
zaterdag 16.12.2017 20:30;Sporting Lokeren;Waasland-Beveren;1 - 1
zondag 17.12.2017 14:30;Club Brugge;RSC Anderlecht;5 - 0
zondag 17.12.2017 18:00;Sporting Charleroi;KRC Genk;1 - 1
zondag 17.12.2017 20:00;SV Zulte Waregem;Antwerp;1 - 2
woensdag 20.12.2017 20:30;KV Mechelen;Club Brugge;0 - 3
donderdag 21.12.2017 20:30;KAA Gent;Sporting Charleroi;1 - 0
donderdag 21.12.2017 20:30;Antwerp;Sporting Lokeren;1 - 2
vrijdag 22.12.2017 20:30;RSC Anderlecht;KAS Eupen;1 - 0
vrijdag 22.12.2017 20:30;Waasland-Beveren;KV Oostende;1 - 3
zaterdag 23.12.2017 18:00;RE Mouscron;SV Zulte Waregem;2 - 1
zaterdag 23.12.2017 20:00;KRC Genk;KV Kortrijk;2 - 3
zaterdag 23.12.2017 20:30;Standard de Liège;STVV;1 - 1
dinsdag 26.12.2017 14:30;Club Brugge;RE Mouscron;4 - 2
dinsdag 26.12.2017 14:30;KAS Eupen;Waasland-Beveren;1 - 0
dinsdag 26.12.2017 14:30;Sporting Lokeren;KV Mechelen;2 - 0
dinsdag 26.12.2017 18:00;SV Zulte Waregem;Sporting Charleroi;0 - 4
dinsdag 26.12.2017 20:30;RSC Anderlecht;KAA Gent;1 - 0
woensdag 27.12.2017 18:00;KV Oostende;KRC Genk;
woensdag 27.12.2017 20:30;KV Kortrijk;Standard de Liège;2 - 1
woensdag 27.12.2017 20:30;STVV;Antwerp;0 - 3
dinsdag 16.01.2018 20:30;KV Oostende;KRC Genk;1 - 2
vrijdag 19.01.2018 20:30;Sporting Charleroi;RE Mouscron;2 - 0
zaterdag 20.01.2018 18:00;Standard de Liège;KAS Eupen;3 - 2
zaterdag 20.01.2018 20:00;KV Oostende;KV Kortrijk;2 - 1
zaterdag 20.01.2018 20:00;Waasland-Beveren;STVV;3 - 1
zaterdag 20.01.2018 20:30;KV Mechelen;SV Zulte Waregem;0 - 2
zondag 21.01.2018 14:30;Antwerp;Club Brugge;2 - 2
zondag 21.01.2018 18:00;KRC Genk;RSC Anderlecht;0 - 1
zondag 21.01.2018 20:00;KAA Gent;Sporting Lokeren;3 - 0
dinsdag 23.01.2018 20:30;RE Mouscron;KV Kortrijk;0 - 3
dinsdag 23.01.2018 20:30;SV Zulte Waregem;Standard de Liège;2 - 1
dinsdag 23.01.2018 20:30;STVV;KV Mechelen;2 - 0
woensdag 24.01.2018 20:30;RSC Anderlecht;Waasland-Beveren;2 - 2
woensdag 24.01.2018 20:30;KAS Eupen;Sporting Charleroi;1 - 0
woensdag 24.01.2018 20:30;Sporting Lokeren;KRC Genk;1 - 2
woensdag 24.01.2018 20:30;Antwerp;KAA Gent;1 - 1
donderdag 25.01.2018 20:30;Club Brugge;KV Oostende;3 - 2
vrijdag 26.01.2018 20:30;KV Mechelen;RE Mouscron;0 - 2
zaterdag 27.01.2018 18:00;Sporting Charleroi;Antwerp;1 - 1
zaterdag 27.01.2018 20:00;KV Kortrijk;KAS Eupen;0 - 0
zaterdag 27.01.2018 20:00;Waasland-Beveren;SV Zulte Waregem;2 - 2
zaterdag 27.01.2018 20:30;KRC Genk;STVV;1 - 1
zondag 28.01.2018 14:30;KAA Gent;Club Brugge;2 - 0
zondag 28.01.2018 18:00;Standard de Liège;RSC Anderlecht;3 - 3
zondag 28.01.2018 20:00;KV Oostende;Sporting Lokeren;2 - 3
vrijdag 02.02.2018 20:30;Antwerp;Waasland-Beveren;1 - 2
zaterdag 03.02.2018 18:00;Sporting Lokeren;Standard de Liège;0 - 3
zaterdag 03.02.2018 20:00;KAS Eupen;KAA Gent;1 - 1
zaterdag 03.02.2018 20:00;STVV;KV Kortrijk;0 - 2
zaterdag 03.02.2018 20:30;RE Mouscron;KRC Genk;0 - 1
zondag 04.02.2018 14:30;RSC Anderlecht;KV Mechelen;2 - 2
zondag 04.02.2018 18:00;Club Brugge;Sporting Charleroi;3 - 3
